Location,Vessel_Number,Sampling,Vessel_type,Catch_site,Catch_depth_m,Catch_dist_km,Species,Total_weight_kg,Average_length_cm,No_of_Individuals,CPUE,season,group,Gear,Duration_days,n_cells,Depth,Dist_mainland_km,Distance_RiverMouth_km,Slope,chl_M,chl_PostM,chl_PreM,EKE_M,EKE_PostM,EKE_PreM,SST_M,SST_PostM,SST_PreM,chl,eke,sst
Malvan,6,Systematic,Small,Sindhudurg fort,17.21458853,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,5,17,4.391631126,6.853233337,25.83451462,1575.46001,1977.056934,1693.140015,0.002220685,0.001494335,0.002150531,32166.79961,27.75637169,28.60160255,1756.382324,0.00149258,27.81363487
Malvan,6,Systematic,Small,Sindhudurg fort,17.21458853,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,5,17,4.391631126,6.853233337,25.83451462,1575.46001,1977.056934,1693.140015,0.002220685,0.001494335,0.002150531,32166.79961,27.75637169,28.60160255,1756.382324,0.00149258,27.81363487
Malvan,7,Systematic,Small,Malvan,15.91214152,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.065759182,22.89038277,1860.899976,2176.644434,1881.337061,0.001831671,0.001290532,0.001798714,31953.4,27.71228638,28.55773354,2308.068848,0.00149258,27.67047691
Malvan,7,Systematic,Small,Malvan,15.91214152,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.065759182,22.89038277,1860.899976,2176.644434,1881.337061,0.001831671,0.001290532,0.001798714,31953.4,27.71228638,28.55773354,2308.068848,0.00149258,27.67047691
Malvan,7,Systematic,Small,Malvan,15.91214152,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.065759182,22.89038277,1860.899976,2176.644434,1881.337061,0.001831671,0.001290532,0.001798714,31953.4,27.71228638,28.55773354,2308.068848,0.00149258,27.67047691
Malvan,8,Systematic,Small,Malvan,22.42437656,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,21.5,7.696770191,8.45969677,9.630986214,1251.900024,1539.32168,1680.234277,0.007135815,0.000404053,0.001859879,32242.89961,27.85964241,28.63479652,1673.8125,0.000232381,27.85951996
Malvan,8,Systematic,Small,Malvan,22.42437656,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,21.5,7.696770191,8.45969677,9.630986214,1251.900024,1539.32168,1680.234277,0.007135815,0.000404053,0.001859879,32242.89961,27.85964241,28.63479652,1673.8125,0.000232381,27.85951996
Malvan,8,Systematic,Small,Malvan,22.42437656,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,21.5,7.696770191,8.45969677,9.630986214,1251.900024,1539.32168,1680.234277,0.007135815,0.000404053,0.001859879,32242.89961,27.85964241,28.63479652,1673.8125,0.000232381,27.85951996
Malvan,9,Systematic,Large,Malvan,19.81948254,,Spadenose shark,1,35,5,0.5,Post-monsoon,Sharks,Trawler,2,24,20,6.569418192,8.054726601,10.79238558,1268.994049,1592.891846,1572.096008,0.001178891,0.000779651,0.001100783,32343.12467,27.79361169,28.64177593,1604.859375,0.000877495,27.78868866
Malvan,9,Systematic,Large,Achara,19.81948254,,,0,,0,0,Post-monsoon,Rays,Trawler,2,24,20,6.569418192,8.054726601,10.79238558,1268.994049,1592.891846,1572.096008,0.001178891,0.000779651,0.001100783,32343.12467,27.79361169,28.64177593,1604.859375,0.000877495,27.78868866
Malvan,9,Systematic,Large,Achara,19.81948254,,,0,,0,0,Post-monsoon,Skates,Trawler,2,24,20,6.569418192,8.054726601,10.79238558,1268.994049,1592.891846,1572.096008,0.001178891,0.000779651,0.001100783,32343.12467,27.79361169,28.64177593,1604.859375,0.000877495,27.78868866
Malvan,10,Systematic,Small,Achara,26.33171758,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,10,28.375,10.65794468,11.28947687,10.58814383,1336.085718,1487.185083,1551.928564,0.003421712,0.001304683,0.002197857,32303.83281,27.64364738,28.60847435,1491.645142,0.001341724,27.65314293
Malvan,10,Systematic,Small,Achara,26.33171758,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,10,28.375,10.65794468,11.28947687,10.58814383,1336.085718,1487.185083,1551.928564,0.003421712,0.001304683,0.002197857,32303.83281,27.64364738,28.60847435,1491.645142,0.001341724,27.65314293
Malvan,10,Systematic,Small,Achara,26.33171758,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,10,28.375,10.65794468,11.28947687,10.58814383,1336.085718,1487.185083,1551.928564,0.003421712,0.001304683,0.002197857,32303.83281,27.64364738,28.60847435,1491.645142,0.001341724,27.65314293
Malvan,11,Systematic,Small,Malvan,10.70235349,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,11,2.384321213,3.593131781,14.01672935,,,,0.001831671,0.001290532,0.001798714,,26.70529938,28.23320007,2308.068848,0.00149258,27.67047691
Malvan,11,Systematic,Small,Malvan,10.70235349,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,11,2.384321213,3.593131781,14.01672935,,,,0.001831671,0.001290532,0.001798714,,26.70529938,28.23320007,2308.068848,0.00149258,27.67047691
Malvan,11,Systematic,Small,Malvan,10.70235349,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,11,2.384321213,3.593131781,14.01672935,,,,0.001831671,0.001290532,0.001798714,,26.70529938,28.23320007,2308.068848,0.00149258,27.67047691
Malvan,12,Systematic,Small,Dandi,13.30724751,,Bamboo shark,2.5,50,8,2.5,Post-monsoon,Sharks,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,12,Systematic,Small,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,12,Systematic,Small,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,13,Systematic,Small,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,13,Systematic,Small,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,13,Systematic,Small,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,14,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,1673.8125,0.000232381,27.85951996
Malvan,14,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,1673.8125,0.000232381,27.85951996
Malvan,14,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,1673.8125,0.000232381,27.85951996
Malvan,15,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,15,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,15,Systematic,Small,Dandi,22.42437656,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,16,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,16,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,16,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,17,Opportunistic,Small non-motorised,Dandi,17.21458853,,Scaly whipray,0.6,40,3,0.6,Post-monsoon,Rays,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,17,Opportunistic,Small non-motorised,Dandi,17.21458853,,Hammerhead shark,0.9,45,1,0.9,Post-monsoon,Sharks,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,17,Opportunistic,Small non-motorised,Dandi,17.21458853,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,19,Systematic,Small,Dandi,14.60969451,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,19,Systematic,Small,Dandi,14.60969451,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,19,Systematic,Small,Dandi,14.60969451,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,20,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,20,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,20,Systematic,Small,Dandi,19.81948254,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,20,5.881144524,7.123158932,7.364523888,1176.600024,1459.993359,1644.870972,0.007130978,0.000318217,0.001718065,32221.39961,27.88809738,28.63454552,1673.8125,0.000232381,27.85951996
Malvan,21,Systematic,Medium,Dandi,45.86842269,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,26,44.875,25.23193264,26.30347538,10.10027885,288.1012495,540.7153266,330.1386793,0.020682275,0.000528206,0.000434633,31858.94096,28.01682145,28.65612583,639.4666748,0.000199397,27.98110771
Malvan,21,Systematic,Medium,Dandi,45.86842269,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,26,44.875,25.23193264,26.30347538,10.10027885,288.1012495,540.7153266,330.1386793,0.020682275,0.000528206,0.000434633,31858.94096,28.01682145,28.65612583,639.4666748,0.000199397,27.98110771
Malvan,21,Systematic,Medium,Dandi,45.86842269,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,26,44.875,25.23193264,26.30347538,10.10027885,288.1012495,540.7153266,330.1386793,0.020682275,0.000528206,0.000434633,31858.94096,28.01682145,28.65612583,639.4666748,0.000199397,27.98110771
Malvan,22,Systematic,Small,Dandi,15.91214152,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,22,Systematic,Small,Dandi,15.91214152,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,22,Systematic,Small,Dandi,15.91214152,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,16.75,4.09098196,5.584571838,23.55311203,1780.03999,2087.394238,1802.226685,0.001985997,0.001391556,0.001954508,32038.86641,27.7277401,28.56388664,2308.068848,0.00149258,27.67047691
Malvan,23,Systematic,Small non-motorised,Dandi,13.30724751,,Bamboo shark,3,55,8,3,Post-monsoon,Sharks,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,23,Systematic,Small non-motorised,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,23,Systematic,Small non-motorised,Dandi,13.30724751,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,2,17.125,3.958897471,5.32516551,23.2217474,2189.199951,2308.068848,2020.400024,0.002140324,0.00149258,0.002110303,31783,27.67047691,28.48845482,2308.068848,0.00149258,27.67047691
Malvan,24,Systematic,Medium,Devgadh,26.33171758,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,13,23.25,7.160370827,7.581947803,11.84286499,492.7868183,1074.666424,1403.038123,0.00467827,0.000884004,0.002450712,32107.40024,27.73522582,28.59183693,1433.518555,0.000898255,27.63839912
Malvan,24,Systematic,Medium,Devgadh,26.33171758,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,13,23.25,7.160370827,7.581947803,11.84286499,492.7868183,1074.666424,1403.038123,0.00467827,0.000884004,0.002450712,32107.40024,27.73522582,28.59183693,1433.518555,0.000898255,27.63839912
Malvan,24,Systematic,Medium,Devgadh,26.33171758,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,13,23.25,7.160370827,7.581947803,11.84286499,492.7868183,1074.666424,1403.038123,0.00467827,0.000884004,0.002450712,32107.40024,27.73522582,28.59183693,1433.518555,0.000898255,27.63839912
Malvan,25,Opportunistic,Small non-motorised,Tarkarli,10.70235349,,Whitespotted whipray,,40,4,,Post-monsoon,Rays,Gillnet: Large-mesh,1,1,20,5.697597504,8.633755684,4.396544456,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1139.264648,0.001501355,27.93096352
Malvan,25,Opportunistic,Small non-motorised,Tarkarli,10.70235349,,Widenose guitarfish,,50,3,,Post-monsoon,Skates,Gillnet: Large-mesh,1,1,20,5.697597504,8.633755684,4.396544456,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1139.264648,0.001501355,27.93096352
Malvan,25,Opportunistic,Small non-motorised,Tarkarli,10.70235349,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,1,20,5.697597504,8.633755684,4.396544456,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1139.264648,0.001501355,27.93096352
Malvan,26,Opportunistic,Small non-motorised,Talashil,10.70235349,,Whitespotted whipray,,24,8,,Post-monsoon,Rays,Gillnet: Large-mesh,1,1,16,5.30150032,5.31152153,20.61442947,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1535.90625,0.000227208,27.78868866
Malvan,26,Opportunistic,Small non-motorised,Tarkarli,10.70235349,,Hammerhead shark,0.2,40,1,0.2,Post-monsoon,Sharks,Gillnet: Large-mesh,1,1,16,5.30150032,5.31152153,20.61442947,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1535.90625,0.000227208,27.78868866
Malvan,26,Opportunistic,Small non-motorised,Talashil,10.70235349,,Widenose guitarfish,,55,4,,Post-monsoon,Skates,Gillnet: Large-mesh,1,1,16,5.30150032,5.31152153,20.61442947,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1535.90625,0.000227208,27.78868866
Malvan,27,Opportunistic,Small non-motorised,Kunkeshwar,10.70235349,,Scaly whipray,,32,25,,Post-monsoon,Rays,Gillnet: Large-mesh,1,1,16,3.083916664,4.060176849,15.27706909,1568.5,1863.541626,2554.478271,0.000877913,0.000609818,0.000863248,,27.5832386,28.23699951,1608.866699,0.000609818,27.59119987
Malvan,27,Opportunistic,Small non-motorised,Kunkeshwar,10.70235349,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,1,16,3.083916664,4.060176849,15.27706909,1568.5,1863.541626,2554.478271,0.000877913,0.000609818,0.000863248,,27.5832386,28.23699951,1608.866699,0.000609818,27.59119987
Malvan,27,Opportunistic,Small non-motorised,Kunkeshwar,10.70235349,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,1,16,3.083916664,4.060176849,15.27706909,1568.5,1863.541626,2554.478271,0.000877913,0.000609818,0.000863248,,27.5832386,28.23699951,1608.866699,0.000609818,27.59119987
Malvan,28,Systematic,Small,Tarkarli,14.60969451,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Small-mesh,1,5,18.25,4.851466656,7.887681484,25.83451462,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311447,32422.66602,27.81363487,28.67703438,1756.382324,0.001501355,27.81363487
Malvan,28,Systematic,Small,Tarkarli,14.60969451,,,0,,0,0,Post-monsoon,Rays,Gillnet: Small-mesh,1,5,18.25,4.851466656,7.887681484,25.83451462,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311447,32422.66602,27.81363487,28.67703438,1756.382324,0.001501355,27.81363487
Malvan,28,Systematic,Small,Tarkarli,14.60969451,,,0,,0,0,Post-monsoon,Skates,Gillnet: Small-mesh,1,5,18.25,4.851466656,7.887681484,25.83451462,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311447,32422.66602,27.81363487,28.67703438,1756.382324,0.001501355,27.81363487
Malvan,32,Systematic,Medium,Malvan,44.56597569,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,13,47.25,27.04915237,27.54740143,11.46311283,284.3047855,539.5840982,336.2494061,0.021677815,0.001135397,0.000274342,31928.31145,28.0178274,28.64416607,541.21875,0.000560067,28.01268768
Malvan,32,Systematic,Medium,Malvan,44.56597569,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,13,47.25,27.04915237,27.54740143,11.46311283,284.3047855,539.5840982,336.2494061,0.021677815,0.001135397,0.000274342,31928.31145,28.0178274,28.64416607,541.21875,0.000560067,28.01268768
Malvan,32,Systematic,Medium,Malvan,44.56597569,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,13,47.25,27.04915237,27.54740143,11.46311283,284.3047855,539.5840982,336.2494061,0.021677815,0.001135397,0.000274342,31928.31145,28.0178274,28.64416607,541.21875,0.000560067,28.01268768
Malvan,33,Systematic,Medium,Sindhudurg fort,74.52225686,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,13,75,50.08325195,50.75764847,8.211622238,203.7570887,383.2331864,178.6033591,0.016792923,0.009519788,0.002468705,32290.90345,28.1559282,28.99880693,534.0714111,0.005906969,28.10502243
Malvan,33,Systematic,Medium,Sindhudurg fort,74.52225686,,,0,,0,0,Post-monsoon,Rays,Gillnet: Large-mesh,1,13,75,50.08325195,50.75764847,8.211622238,203.7570887,383.2331864,178.6033591,0.016792923,0.009519788,0.002468705,32290.90345,28.1559282,28.99880693,534.0714111,0.005906969,28.10502243
Malvan,33,Systematic,Medium,Sindhudurg fort,74.52225686,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,13,75,50.08325195,50.75764847,8.211622238,203.7570887,383.2331864,178.6033591,0.016792923,0.009519788,0.002468705,32290.90345,28.1559282,28.99880693,534.0714111,0.005906969,28.10502243
Malvan,34,Opportunistic,Small non-motorised,Devbagh,10.70235349,,Scaly whipray,10,40,25,10,Post-monsoon,Rays,Gillnet: Large-mesh,1,1,15,5.881144524,6.333514214,40.93486786,961.5,1725.78125,1811.77417,0.003666494,0.00105929,0.002342515,32347.5,27.76298523,28.6791172,1725.78125,0.00105929,27.76298523
Malvan,34,Opportunistic,Small non-motorised,Devbagh,10.70235349,,,0,,0,0,Post-monsoon,Sharks,Gillnet: Large-mesh,1,1,15,5.881144524,6.333514214,40.93486786,961.5,1725.78125,1811.77417,0.003666494,0.00105929,0.002342515,32347.5,27.76298523,28.6791172,1725.78125,0.00105929,27.76298523
Malvan,34,Opportunistic,Small non-motorised,Devbagh,10.70235349,,,0,,0,0,Post-monsoon,Skates,Gillnet: Large-mesh,1,1,15,5.881144524,6.333514214,40.93486786,961.5,1725.78125,1811.77417,0.003666494,0.00105929,0.002342515,32347.5,27.76298523,28.6791172,1725.78125,0.00105929,27.76298523
Malvan,35,Opportunistic,Small non-motorised,Tarkarli,12.0048005,,Sharpnose guitarfish,0.8,45,1,0.8,Post-monsoon,Skates,Gillnet: Large-mesh,1,1,20,5.697597504,8.633755684,4.396544456,1166.300049,1756.382324,1474.966675,0.00254213,0.001501355,0.002311446,32422.66602,27.81363487,28.67703438,1139.264648,0.001501355,27.93096352
